country,hazard,rp,fa
Benin,flood,4000.0,0.19320640047340606
Benin,flood,5000.0,0.20008781197648268
Benin,flood,30000.0,0.21983975124834262
Bhutan,earthquake,0.5,5.242801126843761e-06
Bhutan,earthquake,1.0,5.382206207098119e-06
Bhutan,earthquake,1.5,5.647987076777147e-06
Bhutan,earthquake,2.0,7.38764810903401e-06
Bhutan,earthquake,3.0,2.0501350696604497e-05
Bhutan,earthquake,5.0,0.00016065979081795995
Bhutan,earthquake,10.0,0.0008803631389889911
Bhutan,earthquake,20.0,0.004033955747421274
Bhutan,earthquake,50.0,0.015579633531812949
Bhutan,earthquake,100.0,0.029480810378176767
Bhutan,earthquake,250.0,0.06355043240664505
Bhutan,earthquake,500.0,0.10064068087051356
Bhutan,earthquake,1000.0,0.20101356250959224
Bhutan,earthquake,1500.0,0.24243799196759486
Bhutan,earthquake,2000.0,0.280243767543367
Bhutan,earthquake,4000.0,0.440611167381246
Bhutan,earthquake,5000.0,0.5021524058492911
Bhutan,earthquake,30000.0,0.8584840712620905
Bhutan,flood,5.0,3.271337941078206e-07
Bhutan,flood,10.0,0.005949022435099898
Bhutan,flood,20.0,0.09306682168591911
Bhutan,flood,50.0,0.139925104084777
Bhutan,flood,100.0,0.1461528781801832
Bhutan,flood,250.0,0.16501130843855252
Bhutan,flood,500.0,0.17587350796738596
Bhutan,flood,1000.0,0.18213768309263348
Bhutan,flood,1500.0,0.20369639968759484
Bhutan,flood,2000.0,0.2162033375497353
Bhutan,flood,4000.0,0.236872813841652
Bhutan,flood,5000.0,0.2414484213666436
Bhutan,flood,30000.0,0.2712042396225028
Bolivia,earthquake,0.1,7.511331505545173e-07
Bolivia,earthquake,0.5,0.000278094881487778
Bolivia,earthquake,1.0,0.0005903660655324384
Bolivia,earthquake,1.5,0.0009178328804058145
Bolivia,earthquake,2.0,0.0011955253871082116
Bolivia,earthquake,3.0,0.0017275592993278661
Bolivia,earthquake,5.0,0.002952044150843134
Bolivia,earthquake,10.0,0.0057633258668364044
Bolivia,earthquake,20.0,0.012119980939311855
Bolivia,earthquake,50.0,0.026564713112519078
Bolivia,earthquake,100.0,0.04390975704428596
Bolivia,earthquake,250.0,0.08687566660384392
Bolivia,earthquake,500.0,0.1328288037900437
Bolivia,earthquake,1000.0,0.1865380127742753
Bolivia,earthquake,1500.0,0.20998874286582203
Bolivia,earthquake,2000.0,0.2396105389358115
Bolivia,earthquake,4000.0,0.2915527904332916
Bolivia,earthquake,5000.0,0.2949328309662324
Bolivia,earthquake,30000.0,0.3941634252911126
Bolivia,flood,1.5,4.461111964598171e-07
Bolivia,flood,2.0,2.1184681770842163e-05
Bolivia,flood,3.0,0.0006046134622113814
Bolivia,flood,5.0,0.003835748121617452
Bolivia,flood,10.0,0.010661923840607553
Bolivia,flood,20.0,0.02242943484198413
Bolivia,flood,50.0,0.03799142620059957
Bolivia,flood,100.0,0.04379086432033513
Bolivia,flood,250.0,0.0538470057869637
Bolivia,flood,500.0,0.05786177997728968
Bolivia,flood,1000.0,0.06325707612686769
Bolivia,flood,1500.0,0.06646713530232293
Bolivia,flood,2000.0,0.06984127281767227
Bolivia,flood,4000.0,0.07372792791920045
Bolivia,flood,5000.0,0.07608165162733364
Bolivia,flood,30000.0,0.09661480853256454
Bosnia and Herzegovina,earthquake,0.5,9.49782199673262e-05
Bosnia and Herzegovina,earthquake,1.0,0.0002444679941902516
Bosnia and Herzegovina,earthquake,1.5,0.00036170949692539405
Bosnia and Herzegovina,earthquake,2.0,0.00047541078928933344
Bosnia and Herzegovina,earthquake,3.0,0.0006479702183780471
Bosnia and Herzegovina,earthquake,5.0,0.0009587597689664902
Bosnia and Herzegovina,earthquake,10.0,0.0017247199968019244
Bosnia and Herzegovina,earthquake,20.0,0.0032824245978173333
Bosnia and Herzegovina,earthquake,50.0,0.00830999457870681
Bosnia and Herzegovina,earthquake,100.0,0.015421924822744095
Bosnia and Herzegovina,earthquake,250.0,0.03138507167451168
Bosnia and Herzegovina,earthquake,500.0,0.04484804239626357
Bosnia and Herzegovina,earthquake,1000.0,0.06914189818225842
Bosnia and Herzegovina,earthquake,1500.0,0.08157506358054446
Bosnia and Herzegovina,earthquake,2000.0,0.09128911449567294
Bosnia and Herzegovina,earthquake,4000.0,0.11369605238081139
Bosnia and Herzegovina,earthquake,5000.0,0.11468976106815335
Bosnia and Herzegovina,flood,2.0,2.7581157884558362e-09
Bosnia and Herzegovina,flood,3.0,1.1234832310927737e-05
Bosnia and Herzegovina,flood,5.0,0.0007078026247747167
Bosnia and Herzegovina,flood,10.0,0.01589595821783766
Bosnia and Herzegovina,flood,20.0,0.033049732589151
Bosnia and Herzegovina,flood,50.0,0.05455068620383533
Bosnia and Herzegovina,flood,100.0,0.06569467726564487
Bosnia and Herzegovina,flood,250.0,0.10882216452131109
Bosnia and Herzegovina,flood,500.0,0.12579605764888588
Bosnia and Herzegovina,flood,1000.0,0.14519489063996127
Bosnia and Herzegovina,flood,1500.0,0.16264419453193596
Bosnia and Herzegovina,flood,2000.0,0.17786108774484222
Bosnia and Herzegovina,flood,4000.0,0.20187419253622382
Bosnia and Herzegovina,flood,5000.0,0.20696061842097582
Bosnia and Herzegovina,flood,30000.0,0.22214236805153614
Botswana,earthquake,1.0,0.0001819164365416776
Botswana,earthquake,1.5,0.0002695797825864677
Botswana,earthquake,2.0,0.0003236156788873881
Botswana,earthquake,3.0,0.0004247867720591323
Botswana,earthquake,5.0,0.0006152668020815277
Botswana,earthquake,10.0,0.0009830440010842067
Botswana,earthquake,20.0,0.0018466445607463466
Botswana,earthquake,50.0,0.003974794096333334
Botswana,earthquake,100.0,0.007258912298581711
Botswana,earthquake,250.0,0.013002523524452341
Botswana,earthquake,500.0,0.017937993227844496
Botswana,earthquake,1000.0,0.025180438664560018
Botswana,earthquake,1500.0,0.02823030353481292
Botswana,earthquake,2000.0,0.03137386389518798
Botswana,earthquake,4000.0,0.036578825749144894
Botswana,earthquake,5000.0,0.03780786683338248
Botswana,earthquake,30000.0,0.05862369192936181
Botswana,flood,1.5,2.349306246565189e-08
Botswana,flood,2.0,5.5571642852523335e-06
Botswana,flood,3.0,0.00010464626921763148
Botswana,flood,5.0,0.0008835433145176635
Botswana,flood,10.0,0.0036520325532642434
Botswana,flood,20.0,0.008153818608954902
Botswana,flood,50.0,0.013976290211428901
Botswana,flood,100.0,0.01642750464426572
Botswana,flood,250.0,0.020898932145578517
Botswana,flood,500.0,0.025014087391188572
Botswana,flood,1000.0,0.03366641618740818
Botswana,flood,1500.0,0.037670961801138866
Botswana,flood,2000.0,0.040455429206028855
Botswana,flood,4000.0,0.04504354825415944
Botswana,flood,5000.0,0.04657453269322702
Botswana,flood,30000.0,0.05463317432509791
Brazil,flood,1.5,4.91279863684362e-05
Brazil,flood,2.0,0.00018930496476776646
Brazil,flood,3.0,0.0005402337743173111
Brazil,flood,5.0,0.0012643977369055646
