country,gdp_pc_pp,pop,urbanization_rate,gdp_pc_cd,T_rebuild_K,pi,income_elast,rho,shareable,max_increased_spending,prepare_scaleup,borrow_abi,avg_prod_k,protection,tau_tax
St. Vincent and the Grenadines,10758.563121100002,109643.0,0.5089899999999999,7030.05714506,3.0,0.2,1.5,0.06,0.8,0.05,0.0,2,0.6344556359052773,1.0,0.16448424303576856
Sudan,4385.04692279,39578828.0,0.34007,2415.03816213,3.0,0.2,1.5,0.06,0.8,0.05,0.6666666666666667,2,0.9487533644538989,1.0,0.05974477171515533
Swaziland,7733.80856334,1343098.0,0.21315,2775.15390848,3.0,0.2,1.5,0.06,0.8,0.05,0.6,2,0.19038060692098577,1.0,0.1095257682360058
Sweden,46441.205921,9903122.0,0.85964,51599.8688678,3.0,0.2,1.5,0.06,0.8,0.05,0.7333333333333333,2,0.357367643802592,1.0,0.35766116184999996
Switzerland,56625.135014199994,8372098.0,0.7399,78812.6506873,3.0,0.2,1.5,0.06,0.8,0.05,0.9333333333333333,2,0.28308540003621385,1.0,0.31883982652299997
Tajikistan,2762.58545284,8734951.0,0.26891,795.843864368,3.0,0.2,1.5,0.06,0.8,0.05,0.6,2,0.3854263244630784,1.0,0.23312181055614645
Tanzania,2583.27903888,55572201.0,0.32316,879.193814026,3.0,0.2,1.5,0.06,0.8,0.05,0.6666666666666667,2,0.41320436712274966,1.0,0.0765013290732122
Thailand,15681.8140914,68863514.0,0.5154,5907.91343152,3.0,0.2,1.5,0.06,0.8,0.05,0.6666666666666667,2,0.24033636299972685,1.0,0.271871370467086
Timor-Leste,2151.10705531,1268671.0,0.33401,1161.76093513,3.0,0.2,1.5,0.06,0.8,0.05,0.4,2,0.12895241137016927,1.0,0.06087042519950009
Togo,1382.10974737,7606374.0,0.40463000000000005,578.461693649,3.0,0.2,1.5,0.06,0.8,0.05,0.2,2,0.3708920312086315,1.0,0.0940822194522051
Tonga,5332.47244457,107122.0,0.23801,3688.87463595,3.0,0.2,1.5,0.06,0.8,0.05,0.6,2,0.3578357636224098,1.0,0.11702355624494476
Trinidad and Tobago,29578.9563878,1364962.0,0.08352000000000001,15377.098805599999,3.0,0.2,1.5,0.06,0.8,0.05,0.6666666666666667,2,1.0787654875020773,1.0,0.14658594109072992
Tunisia,10752.0168251,11403248.0,0.67047,3688.64637468,3.0,0.2,1.5,0.06,0.8,0.05,0.5333333333333333,2,0.24926564326912068,1.0,0.14438034176467424
Turkey,23679.3963898,79512426.0,0.73887,10787.609339,3.0,0.2,1.5,0.06,0.8,0.05,0.8666666666666666,2,0.4121669094199699,1.0,0.20902863839531802
Uganda,1713.85119177,41487965.0,0.16444,615.308803183,3.0,0.2,1.5,0.06,0.8,0.05,0.6666666666666667,2,0.5735745521051661,1.0,0.1033152311297008
Ukraine,7668.05577615,45004645.0,0.69915,2185.72803066,3.0,0.2,1.5,0.06,0.8,0.05,0.0,2,0.2458541924399426,1.0,0.4049588613288999
United Kingdom,38901.0467585,65637239.0,0.82835,39899.3883949,3.0,0.2,1.5,0.06,0.8,0.05,0.8,2,0.30312817474804055,1.0,0.43394016669599994
United States,53272.515709900006,323127513.0,0.81788,57466.7871132,3.0,0.2,1.5,0.06,0.8,0.05,0.7333333333333333,2,0.3187368533465751,1.0,0.11753999999999998
Uruguay,20046.926832900004,3444006.0,0.9546,15220.5660251,3.0,0.2,1.5,0.06,0.8,0.05,0.6666666666666667,2,0.29188665397068997,1.0,0.3907335847520731
Uzbekistan,6038.87141395,31848200.0,0.36479,2110.6478724,3.0,0.2,1.5,0.06,0.8,0.05,0.0,2,0.730183656731034,1.0,0.24373127540059525
Vanuatu,2856.47531029,270402.0,0.26441,2860.56647483,3.0,0.2,1.5,0.06,0.8,0.05,0.4666666666666667,2,0.29706761565836304,1.0,0.09927400643883692
"Venezuela, RB",17665.2399979,31568179.0,0.8904299999999999,12237.2240642,3.0,0.2,1.5,0.06,0.8,0.05,0.0,2,0.3131698078545005,1.0,0.10489886137481677
Vietnam,5955.26188759,92701100.0,0.34236,2185.69028246,3.0,0.2,1.5,0.06,0.8,0.05,0.5333333333333333,2,0.2697045509948559,1.0,0.15057482078945097
"Yemen, Rep.",2325.06995998,27584213.0,0.35186999999999996,990.334773955,3.0,0.2,1.5,0.06,0.8,0.05,0.33333333333333337,2,0.2191314756601725,1.0,0.08061792134150898
Zambia,3636.05971131,16591390.0,0.41379,1178.38790501,3.0,0.2,1.5,0.06,0.8,0.05,0.8666666666666666,2,0.425750249346411,1.0,0.08870526428540121
Zimbabwe,1859.93744141,16150362.0,0.32277,1008.59733051,3.0,0.2,1.5,0.06,0.8,0.05,0.7333333333333333,2,19.14376169472781,1.0,0.108605563729834
