country,income_cat,n,c,axfin,gamma_SP,k,fa,shew
Kenya,nonpoor,0.8,3485.122092507287,0.4164474,1.204621934061498,7521.445674478168,0.005226871806975166,0.4000000000000002
Kenya,poor,0.2,687.51621552085,0.1333483,0.1815122637540079,1510.8907833044652,0.008557519313074297,0.4000000000000002
Kiribati,nonpoor,0.8,2215.6959154960996,0.0,1.1647459108082012,7804.907509752872,0.0018657459734637224,0.0
Kiribati,poor,0.2,626.2780746156001,0.0,0.3410163567671947,2198.4920875170724,0.0018657459734637224,0.0
Kyrgyz Republic,nonpoor,0.8,3724.0390753009997,0.0561118,1.099196120903765,7235.430041074234,0.06647820962827522,0.8000000000000004
Kyrgyz Republic,poor,0.2,1563.6849155959999,0.03731649,0.6032155163849389,2698.089772566605,0.06664069535348441,0.8000000000000004
Lao PDR,nonpoor,0.8,6623.447490336601,0.2385275,1.221925631510541,26559.09790725179,0.059175857197633665,0.6000000000000002
Lao PDR,poor,0.2,2179.1428972536,0.1325088,0.11229747395783567,9708.056459425783,0.050538636796255865,0.6000000000000002
Latvia,nonpoor,0.8,27683.865985766744,0.2983719,1.0512026126760552,119612.29632762758,0.050583010588628664,0.0
Latvia,poor,0.2,7824.989957433,0.185183,0.7951895492957787,16853.064045640494,0.04088045440363739,0.0
Lesotho,nonpoor,0.8,3412.00714054905,0.1136827,1.2236656497551985,17116.62066645698,0.01215832387983704,0.4000000000000002
Lesotho,poor,0.2,393.15308615379996,0.02873374,0.10533740097920545,2017.0971688059192,0.011532244982997377,0.4000000000000002
Liberia,nonpoor,0.8,868.4748793539725,0.20074909999999999,1.2147517263186869,1823.8670365346193,0.010749051626176913,0.0
Liberia,poor,0.2,293.88737782910994,0.0449625,0.14099309472525268,678.4802973206614,0.010780024133426424,0.0
Lithuania,nonpoor,0.8,32787.3130948075,0.3604111,1.0734501585187868,109521.69738715352,0.018290783057150675,0.0
Lithuania,poor,0.2,8371.22887527,0.16736099999999998,0.7061993659248532,7716.2165910545045,0.020307426553777437,0.0
Luxembourg,nonpoor,0.8,111692.73651520461,0.6614446999999999,1.1335495459984213,456171.21137095615,0.004738949276019652,0.0
Luxembourg,poor,0.2,38322.372137681494,0.5098123999999999,0.46580181600631426,137423.40371478768,0.0050886269089664045,0.0
"Macedonia, FYR",nonpoor,0.8,15404.636821413997,0.1795803,1.0958980051711549,59880.39223312498,0.02183451011532137,0.6000000000000002
"Macedonia, FYR",poor,0.2,3655.337550843999,0.07452801,0.61640797931538,7791.540649880879,0.02241046050873433,0.6000000000000002
Madagascar,nonpoor,0.8,1645.64313168825,0.04567038,1.193980508176598,5588.627002613439,0.03671708927912486,0.4000000000000002
Madagascar,poor,0.2,397.88614424699995,0.01404179,0.22407796729360827,1382.656076457816,0.03307692235005048,0.4000000000000002
Malawi,nonpoor,0.8,1281.7947571483999,0.08640283,1.2008147892607752,5062.976518768647,0.024356985973086984,0.8000000000000004
Malawi,poor,0.2,292.67195300640003,0.04726892,0.1967408429568989,1163.948416381753,0.024525360706689977,0.8000000000000004
Malaysia,nonpoor,0.8,30600.098374941,0.3924174,1.1131926373419223,122645.56077199074,0.01967015413930704,1.0
Malaysia,poor,0.2,5901.905766236,0.255594,0.5472294506323104,21410.306977937606,0.02164869305852967,1.0
